numberOfWalkDecisions,899689
NumberOfBicycleDecisions,311
NumberOfPassesDueToTopography,11
NumberOfPassesDueToRandom,35
NumberOfPassesDueToNoInfra,899643
"",
numberOfWalkDecisions,899675
NumberOfBicycleDecisions,325
NumberOfPassesDueToTopography,11
NumberOfPassesDueToRandom,36
NumberOfPassesDueToNoInfra,899628
"",
numberOfWalkDecisions,899686
NumberOfBicycleDecisions,314
NumberOfPassesDueToTopography,7
NumberOfPassesDueToRandom,39
NumberOfPassesDueToNoInfra,899640
"",
numberOfWalkDecisions,899681
NumberOfBicycleDecisions,319
NumberOfPassesDueToTopography,3
NumberOfPassesDueToRandom,31
NumberOfPassesDueToNoInfra,899647
"",
numberOfWalkDecisions,899695
NumberOfBicycleDecisions,305
NumberOfPassesDueToTopography,8
NumberOfPassesDueToRandom,47
NumberOfPassesDueToNoInfra,899640
"",
